Line,Stop,Date,Score
1,8741,20210917,47.2
1,8741,20210918,89.36
1,8741,20210919,86.26
1,8741,20210920,56.46
1,8741,20210921,39.4
1,8741,20210906,74.0
1,8741,20210907,86.52
1,8741,20210908,77.27
1,8741,20210909,69.02
1,8741,20210910,80.85
1,8741,20210911,95.13
1,8741,20210912,66.82
1,8741,20210913,78.18
1,8741,20210914,84.89
1,8741,20210915,77.15
1,8741,20210916,81.35
1,8741,20210917,61.56
1,8741,20210918,92.14
1,8741,20210919,82.29
1,8741,20210920,47.05
1,8741,20210921,32.0
2,8743,20210906,70.52
2,8743,20210907,84.03
2,8743,20210908,78.74
2,8743,20210909,52.76
2,8743,20210910,56.06
2,8743,20210911,93.07
2,8743,20210912,94.7
2,8743,20210913,72.64
2,8743,20210914,59.8
2,8743,20210915,79.12
2,8743,20210916,79.58
2,8743,20210917,48.02
2,8743,20210918,89.94
2,8743,20210919,77.78
2,8743,20210920,52.73
2,8743,20210921,42.12
2,8743,20210906,74.63
2,8743,20210907,70.65
2,8743,20210908,57.39
2,8743,20210909,60.83
2,8743,20210910,48.44
2,8743,20210911,93.57
2,8743,20210912,95.49
2,8743,20210913,46.66
2,8743,20210914,57.76
2,8743,20210915,63.15
2,8743,20210916,50.95
2,8743,20210917,58.58
2,8743,20210918,92.2
2,8743,20210919,91.83
2,8743,20210920,61.74
2,8743,20210921,32.98
5,8012,20210906,79.61
5,8012,20210907,75.88
5,8012,20210908,61.06
5,8012,20210909,77.44
5,8012,20210910,69.05
5,8012,20210911,93.42
5,8012,20210912,95.37
5,8012,20210913,68.58
5,8012,20210914,69.6
5,8012,20210915,59.98
5,8012,20210916,60.93
5,8012,20210917,58.69
5,8012,20210918,87.11
5,8012,20210919,93.28
5,8012,20210920,64.58
5,8012,20210921,64.82
5,8012,20210906,62.8
5,8012,20210907,88.98
5,8012,20210908,81.29
5,8012,20210909,70.32
5,8012,20210910,83.42
5,8012,20210911,94.95
5,8012,20210912,83.45
5,8012,20210913,84.0
5,8012,20210914,89.06
5,8012,20210915,74.18
5,8012,20210916,79.61
5,8012,20210917,72.37
5,8012,20210918,88.42
5,8012,20210919,92.55
5,8012,20210920,45.35
5,8012,20210921,40.81
5,8022,20210906,79.58
5,8022,20210907,78.82
5,8022,20210908,59.71
5,8022,20210909,73.91
5,8022,20210910,70.3
5,8022,20210911,94.3
5,8022,20210912,94.94
5,8022,20210913,66.03
5,8022,20210914,70.37
5,8022,20210915,68.72
5,8022,20210916,60.54
5,8022,20210917,60.68
5,8022,20210918,89.32
5,8022,20210919,91.42
5,8022,20210920,62.06
5,8022,20210921,62.33
5,8022,20210906,71.41
5,8022,20210907,89.59
5,8022,20210908,79.23
5,8022,20210909,66.57
5,8022,20210910,80.48
5,8022,20210911,94.77
5,8022,20210912,83.88
5,8022,20210913,83.29
5,8022,20210914,86.44
5,8022,20210915,82.8
5,8022,20210916,78.7
5,8022,20210917,70.95
5,8022,20210918,91.86
5,8022,20210919,91.78
5,8022,20210920,42.5
5,8022,20210921,42.97
5,8032,20210906,80.57
5,8032,20210907,73.3
5,8032,20210908,61.12
5,8032,20210909,77.77
5,8032,20210910,67.43
5,8032,20210911,95.26
5,8032,20210912,95.17
5,8032,20210913,70.34
5,8032,20210914,61.57
5,8032,20210915,72.23
5,8032,20210916,62.41
5,8032,20210917,54.87
5,8032,20210918,89.14
5,8032,20210919,92.28
5,8032,20210920,64.42
5,8032,20210921,64.38
5,8032,20210906,72.62
5,8032,20210907,86.06
5,8032,20210908,86.89
5,8032,20210909,64.12
5,8032,20210910,82.62
5,8032,20210911,94.39
5,8032,20210912,85.41
5,8032,20210913,88.25
5,8032,20210914,82.87
5,8032,20210915,84.95
5,8032,20210916,81.95
5,8032,20210917,61.77
5,8032,20210918,90.31
5,8032,20210919,91.95
5,8032,20210920,60.4
5,8032,20210921,43.81
5,8042,20210906,79.56
5,8042,20210907,76.68
5,8042,20210908,60.85
5,8042,20210909,73.32
5,8042,20210910,69.76
5,8042,20210911,94.59
5,8042,20210912,95.17
5,8042,20210913,67.23
5,8042,20210914,61.18
5,8042,20210915,73.37
5,8042,20210916,62.61
5,8042,20210917,59.39
5,8042,20210918,89.72
5,8042,20210919,91.57
